City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
0,Quatre Cocos,MU,2020-01-02 06:34:29,-20.21,57.76,84.2,79,75,6.93,broken clouds,0.0,0.0
1,Port Hedland,AU,2020-01-02 06:34:29,-20.31,118.58,95.0,50,83,19.46,broken clouds,0.0,0.0
2,Barrow,AR,2020-01-02 06:34:30,-38.31,-60.23,54.46,97,7,5.99,clear sky,0.0,0.0
3,Ushuaia,AR,2020-01-02 06:34:30,-54.81,-68.31,62.6,48,40,3.36,scattered clouds,0.0,0.0
4,Upernavik,GL,2020-01-02 06:34:30,72.79,-56.15,-15.56,85,90,6.02,overcast clouds,0.0,0.0
5,Rikitea,PF,2020-01-02 06:34:30,-23.12,-134.97,78.4,83,39,6.26,scattered clouds,0.0,0.0
6,Hambantota,LK,2020-01-02 06:34:31,6.12,81.12,82.4,100,75,6.93,broken clouds,0.0,0.0
7,Cape Town,ZA,2020-01-02 06:30:22,-33.93,18.42,72.0,77,20,17.22,few clouds,0.0,0.0
8,Souillac,FR,2020-01-02 06:34:31,45.6,-0.6,48.2,93,90,3.36,overcast clouds,0.0,0.0
9,San Patricio,PY,2020-01-02 06:34:32,-26.98,-56.83,69.94,89,0,5.39,clear sky,0.0,0.0
10,Khatanga,RU,2020-01-02 06:34:32,71.98,102.47,-9.8,85,24,6.04,few clouds,0.0,0.0
11,Fuerte Olimpo,BR,2020-01-02 06:34:32,-21.04,-57.87,76.78,71,29,4.47,scattered clouds,0.0,0.0
12,Jamestown,AU,2020-01-02 06:34:32,-33.21,138.6,93.16,8,0,9.01,clear sky,0.0,0.0
13,Marquette,US,2020-01-02 06:34:32,46.54,-87.4,32.0,92,90,9.17,overcast clouds,0.0,0.0
14,Banting,MY,2020-01-02 06:34:33,2.82,101.5,91.4,59,40,3.36,scattered clouds,0.0,0.0
15,Arraial Do Cabo,BR,2020-01-02 06:34:33,-22.97,-42.02,77.0,88,69,11.41,broken clouds,0.0,0.0
16,Muros,ES,2020-01-02 06:34:33,42.77,-9.06,52.0,100,90,2.24,fog,0.0,0.0
17,Flinders,AU,2020-01-02 06:34:33,-34.58,150.85,75.99,53,0,12.75,clear sky,0.0,0.0
18,Lakatoro,VU,2020-01-02 06:34:34,-16.11,167.42,82.4,69,9,6.93,clear sky,0.0,0.0
19,Thompson,CA,2020-01-02 06:34:34,55.74,-97.86,6.8,84,90,3.36,light snow,0.0,0.0
20,Busselton,AU,2020-01-02 06:34:34,-33.64,115.35,70.0,62,61,5.01,broken clouds,0.0,0.0
21,Butaritari,KI,2020-01-02 06:34:34,3.07,172.79,82.9,79,100,12.19,moderate rain,5.06,0.0
22,Nikolskoye,RU,2020-01-02 06:34:35,59.7,30.79,37.99,86,40,17.9,scattered clouds,0.0,0.0
23,Kodiak,US,2020-01-02 06:34:35,39.95,-94.76,44.01,70,1,10.29,clear sky,0.0,0.0
24,Rameshki,RU,2020-01-02 06:34:35,57.35,36.05,32.68,97,100,12.08,light snow,0.0,1.0
25,Chakrata,IN,2020-01-02 06:34:35,30.7,77.87,57.34,31,100,3.0,overcast clouds,0.0,0.0
26,Bredasdorp,ZA,2020-01-02 06:34:36,-34.53,20.04,72.0,77,75,5.82,broken clouds,0.0,0.0
27,Talnakh,RU,2020-01-02 06:34:36,69.49,88.39,-0.4,84,100,17.9,light snow,0.0,0.0
28,Punta Arenas,CL,2020-01-02 06:34:36,-53.16,-70.91,59.0,67,75,13.87,broken clouds,0.0,0.0
29,Carnarvon,ZA,2020-01-02 06:34:36,-30.97,22.13,74.62,35,0,4.43,clear sky,0.0,0.0
30,East London,ZA,2020-01-02 06:34:02,-33.02,27.91,73.4,78,40,12.75,scattered clouds,0.0,0.0
31,Cherskiy,RU,2020-01-02 06:34:37,68.75,161.3,0.46,62,100,17.09,overcast clouds,0.0,0.0
32,Hilo,US,2020-01-02 06:34:37,19.71,-155.08,71.6,78,1,4.7,clear sky,0.0,0.0
33,Manggar,ID,2020-01-02 06:34:37,-2.88,108.27,83.62,77,72,13.85,light rain,2.38,0.0
34,Blagoyevo,RU,2020-01-02 06:34:38,63.37,47.92,0.46,98,82,5.66,broken clouds,0.0,0.0
35,Tuatapere,NZ,2020-01-02 06:34:38,-46.13,167.69,61.0,66,8,8.99,clear sky,0.0,0.0
36,Puerto Ayora,EC,2020-01-02 06:34:39,-0.74,-90.35,73.0,81,49,3.0,scattered clouds,0.0,0.0
37,Saskylakh,RU,2020-01-02 06:34:39,71.97,114.09,-14.3,83,0,12.1,clear sky,0.0,0.0
38,Inuvik,CA,2020-01-02 06:34:39,68.36,-133.71,-4.0,76,90,8.05,light snow,0.0,0.0
39,Kenora,CA,2020-01-02 06:34:39,49.76,-94.48,24.8,92,90,5.82,light snow,0.0,0.0
40,Lebu,ET,2020-01-02 06:34:40,8.96,38.73,62.6,45,40,11.41,scattered clouds,0.0,0.0
41,Marfino,RU,2020-01-02 06:34:40,56.07,37.56,34.0,95,90,15.66,light snow,0.0,0.0
42,Chegdomyn,RU,2020-01-02 06:34:40,51.13,133.04,-18.62,93,100,1.45,overcast clouds,0.0,0.0
43,Manzhouli,CN,2020-01-02 06:34:41,49.6,117.43,3.34,83,0,11.65,clear sky,0.0,0.0
44,New Norfolk,AU,2020-01-02 06:34:41,-42.78,147.06,71.01,43,54,14.99,broken clouds,0.0,0.0
45,Altay,CN,2020-01-02 06:34:41,47.83,88.13,23.14,85,100,1.1,overcast clouds,0.0,0.0
46,Haines Junction,CA,2020-01-02 06:34:42,60.75,-137.51,5.14,88,5,13.13,clear sky,0.0,0.0
47,Pevek,RU,2020-01-02 06:34:42,69.7,170.27,-11.6,83,28,9.1,scattered clouds,0.0,0.0
48,Ghanzi,BW,2020-01-02 06:34:42,-21.7,21.65,74.08,72,95,2.13,overcast clouds,0.0,0.0
