City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Quatre Cocos,MU,84.2,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
1,Port Hedland,AU,95.0,broken clouds,-20.31,118.58,The Esplanade Hotel
2,Barrow,AR,54.46,clear sky,-38.31,-60.23,
3,Ushuaia,AR,62.6,scattered clouds,-54.81,-68.31,Albatros Hotel
5,Rikitea,PF,78.4,scattered clouds,-23.12,-134.97,Pension Maro'i
6,Hambantota,LK,82.4,broken clouds,6.12,81.12,Bungalow 63
7,Cape Town,ZA,72.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
8,Souillac,FR,48.2,overcast clouds,45.6,-0.6,Jolysable
9,San Patricio,PY,69.94,clear sky,-26.98,-56.83,"Granja ""La Blanca"""
11,Fuerte Olimpo,BR,76.78,scattered clouds,-21.04,-57.87,Hotel Fuerte Olimpo
12,Jamestown,AU,93.16,clear sky,-33.21,138.6,Jamestown Motel Terraces
14,Banting,MY,91.4,scattered clouds,2.82,101.5,Hotel Intan Jugra
15,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.02,Pousada Porto Praia
16,Muros,ES,52.0,fog,42.77,-9.06,Apartment Av. Castelao
17,Flinders,AU,75.99,clear sky,-34.58,150.85,Shellharbour Resort & Conference Centre
18,Lakatoro,VU,82.4,clear sky,-16.11,167.42,Lakatoro Palm Lodge
20,Busselton,AU,70.0,broken clouds,-33.64,115.35,Observatory Guest House
21,Butaritari,KI,82.9,moderate rain,3.07,172.79,Isles Sunset Lodge
22,Nikolskoye,RU,37.99,scattered clouds,59.7,30.79,Tourist House - Sablino
23,Kodiak,US,44.01,clear sky,39.95,-94.76,
25,Chakrata,IN,57.34,overcast clouds,30.7,77.87,Hotel Hill Knights Chakrata
26,Bredasdorp,ZA,72.0,broken clouds,-34.53,20.04,Bredasdorp Country Manor
28,Punta Arenas,CL,59.0,broken clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
29,Carnarvon,ZA,74.62,clear sky,-30.97,22.13,Maritza Bed & Breakfast
30,East London,ZA,73.4,scattered clouds,-33.02,27.91,Tu Casa
32,Hilo,US,71.6,clear sky,19.71,-155.08,Hilo Seaside Hotel
33,Manggar,ID,83.62,light rain,-2.88,108.27,Guest Hotel
35,Tuatapere,NZ,61.0,clear sky,-46.13,167.69,Ron and Tony's Bed & Breakfast
36,Puerto Ayora,EC,73.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
40,Lebu,ET,62.6,scattered clouds,8.96,38.73,Dah-Lak Guest House
44,New Norfolk,AU,71.01,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
48,Ghanzi,BW,74.08,overcast clouds,-21.7,21.65,Kalahari Arms Hotel
50,Veraval,FR,42.8,fog,49.65,0.71,Le Manoir aux Vaches
51,Kapaa,US,69.8,clear sky,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
52,Mahebourg,MU,84.2,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
54,Mataura,NZ,61.0,few clouds,-46.19,168.86,Ellie's Villa
56,Torbay,CA,36.0,light rain,47.66,-52.73,See The Sea
59,Atuona,PF,80.38,clear sky,-9.8,-139.03,Villa Enata
60,Saint-Pierre,FR,37.99,light rain,48.95,4.24,Auberge des Moissons
61,Hasaki,JP,51.8,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
62,Vaini,IN,80.6,scattered clouds,15.34,74.49,Dandeli Lake County
64,Cururupu,BR,74.44,light rain,-1.82,-44.87,Pousada Través'cia
65,Noumea,NC,80.6,broken clouds,-22.28,166.46,Hôtel Le Lagon
66,Ondangwa,,75.2,broken clouds,-17.91,15.98,Protea Hotel by Marriott Ondangwa
67,Tigao,PH,81.28,light rain,9.21,126.18,EMELIANO A. LAGUA
68,Teya,MX,73.4,clear sky,21.05,-89.07,Hacienda Grupo Mérida Sur
69,Dale,CN,65.98,overcast clouds,24.09,109.99,
70,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
71,Vila Velha,BR,86.0,few clouds,-3.71,-38.6,Hotel Iparana Paradise
72,Ugoofaaru,MV,82.18,light rain,5.67,73.0,Ungoofaaru Inn
74,Puerto Escondido,MX,75.2,clear sky,15.86,-97.07,Aldea del Bazar Hotel and Spa
75,Kavieng,PG,84.7,light rain,-2.57,150.8,Nusa Island Retreat
76,Launceston,AU,75.2,overcast clouds,-41.43,147.14,Hotel Grand Chancellor Launceston
77,Coquimbo,CL,59.0,overcast clouds,-29.95,-71.34,Hotel San Juan
79,Waipawa,NZ,73.0,few clouds,-39.94,176.59,T A Commercial Hotel
80,Castro,CL,53.6,clear sky,-42.48,-73.76,Hotel Esmeralda
81,Katsuura,JP,53.6,few clouds,33.93,134.5,喜楽の湯
84,Matara,BI,64.36,overcast clouds,-3.48,29.48,
87,Muscat,OM,77.0,broken clouds,23.6,58.55,Al Falaj Hotel
89,Walla Walla,US,50.0,scattered clouds,46.06,-118.33,Holiday Inn Express Walla Walla
90,San Cristobal,HN,64.9,light rain,14.68,-86.92,
92,Palmer,AU,91.0,scattered clouds,-34.85,139.16,Palmer Hotel
93,Port Alfred,ZA,73.0,scattered clouds,-33.59,26.89,The Halyards Hotel
97,Hermanus,ZA,72.0,broken clouds,-34.42,19.24,Misty Waves Boutique Hotel
99,Avon,US,39.99,clear sky,41.45,-82.04,Fairfield Inn & Suites by Marriott Cleveland Avon
101,Kupang,ID,82.4,broken clouds,-10.16,123.6,Hotel On The Rock by Prasanthi
102,Segovia,ES,39.99,clear sky,40.95,-4.12,Hotel Puerta De Segovia
103,Hobart,AU,71.01,broken clouds,-42.88,147.33,St Ives Apartments
104,Ginda,IN,52.48,overcast clouds,30.69,78.49,Bherav Hotel Manpur
105,Ponta Do Sol,BR,66.34,light rain,-20.63,-46.0,Hotel Escarpas do Lago
106,Nadvoitsy,RU,35.56,light rain,63.89,34.27,Sever Nadvoitsy
107,Salalah,OM,78.8,few clouds,17.01,54.1,HAMDAN PLAZA HOTEL
110,Huarmey,PE,67.6,broken clouds,-10.07,-78.15,Hotel Miramar
111,Victoria,BN,87.8,broken clouds,5.28,115.24,Tiara Labuan Hotel
112,Richards Bay,ZA,77.14,scattered clouds,-28.77,32.06,BON Hotel Waterfront Richards Bay
113,Chuy,UY,68.14,light rain,-33.69,-53.46,Nuevo Hotel Plaza
114,Canutama,BR,69.76,overcast clouds,-6.53,-64.38,Hotel Jhennifer
117,San Carlos,NI,71.01,scattered clouds,11.12,-84.78,Hotel y Restaurante Ocaso
118,Christchurch,NZ,66.99,few clouds,-43.53,172.64,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
119,Bluff,AU,99.1,clear sky,-23.58,149.07,Bluff Hotel
120,Cidreira,BR,74.44,light rain,-30.17,-50.22,Pond Country Club
121,Fortuna,US,48.99,fog,40.6,-124.16,Super 8 By Wyndham Fortuna
122,Stromness,CA,39.99,overcast clouds,42.87,-79.55,Lighthouse RV Resort Inc
123,Bhaderwah,IN,41.14,overcast clouds,32.98,75.72,Hotel Shiv Residency and Restaurant Bhaderwah (J&K)
124,Marsh Harbour,BS,73.18,clear sky,26.54,-77.06,Abaco Beach Resort
125,Kajaani,FI,37.4,broken clouds,64.22,27.73,Original Sokos Hotel Valjus
126,Los Llanos De Aridane,ES,66.2,overcast clouds,28.66,-17.92,Valle Aridane
127,Marawi,PH,84.0,broken clouds,8.0,124.29,Derogongan Residence
128,Castanas,PH,80.01,light rain,13.88,121.55,Oyayi Farm & Resort
129,Lompoc,US,59.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
130,Hirado,JP,55.99,scattered clouds,33.32,129.49,Yukai Resort Hotel Ranpu
133,Esperance,AU,71.6,overcast clouds,-33.86,121.89,Hospitality Esperance
135,Sinnamary,GF,78.94,light rain,5.38,-52.96,ALETHEIA Appartement Sinnamary
136,Watertown,US,35.01,overcast clouds,44.9,-97.12,Hampton Inn & Suites Watertown
137,Sitka,US,39.0,clear sky,37.17,-99.65,
138,Ostersund,SE,39.99,overcast clouds,63.18,14.64,Best Western Hotel Gamla Teatern
