City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gamba,28.28,88.52,10.11,25,0,2.95,CN,2019-12-31 03:02:40
1,Kuala Terengganu,5.33,103.14,84.2,74,40,5.82,MY,2019-12-31 03:02:10
2,Pacific Grove,36.62,-121.92,53.01,81,1,9.17,US,2019-12-31 03:02:41
3,Boende,-0.28,20.88,76.66,68,100,1.07,CD,2019-12-31 03:02:41
4,Gazojak,41.19,61.4,33.75,82,31,7.52,TM,2019-12-31 03:02:41
5,Busselton,-33.64,115.35,82.99,23,0,10.16,AU,2019-12-31 02:59:31
6,Albany,42.65,-73.75,35.6,86,90,6.78,US,2019-12-31 03:00:10
7,Avarua,-21.21,-159.78,78.8,74,100,4.7,CK,2019-12-31 03:02:42
8,Bluff,-23.58,149.07,89.87,29,0,10.16,AU,2019-12-31 03:01:40
9,Matagami,9.67,8.4,53.6,50,0,6.93,NG,2019-12-31 03:02:43
10,Frederico Westphalen,-27.36,-53.4,77.0,92,100,2.42,BR,2019-12-31 02:59:16
11,Vaini,15.34,74.49,64.4,87,40,3.0,IN,2019-12-31 03:02:44
12,Ushuaia,-54.81,-68.31,50.0,43,40,23.04,AR,2019-12-31 03:00:51
13,Port Blair,11.67,92.75,81.55,76,45,15.03,IN,2019-12-31 03:02:44
14,Punta Arenas,-53.16,-70.91,50.0,61,100,12.75,CL,2019-12-31 03:02:45
15,Esperance,-33.86,121.89,71.6,43,0,5.82,AU,2019-12-31 03:02:45
16,Hermanus,-34.42,19.24,64.0,80,0,3.0,ZA,2019-12-31 03:02:45
17,Rongcheng,37.16,122.42,29.62,49,34,12.08,CN,2019-12-31 03:02:46
18,Butaritari,3.07,172.79,83.5,77,100,12.24,KI,2019-12-31 03:02:46
19,Cherskiy,68.75,161.3,-35.59,99,0,3.89,RU,2019-12-31 03:02:46
20,Vanimo,-2.67,141.3,83.23,78,75,14.41,PG,2019-12-31 03:02:46
21,Tuatapere,-46.13,167.69,84.49,20,66,6.08,NZ,2019-12-31 03:02:47
22,Qaanaaq,77.48,-69.36,-32.58,93,96,5.48,GL,2019-12-31 03:02:47
23,Mahebourg,-20.41,57.7,80.01,94,75,17.22,MU,2019-12-31 03:02:47
24,Cape Town,-33.93,18.42,64.99,68,0,19.46,ZA,2019-12-31 02:57:55
25,Champerico,16.38,-93.6,75.2,69,5,11.41,MX,2019-12-31 03:02:48
26,Alyangula,-13.85,136.42,93.2,52,49,9.17,AU,2019-12-31 03:02:48
27,Barrow,-38.31,-60.23,69.15,93,100,11.48,AR,2019-12-31 03:02:48
28,Jamestown,-33.21,138.6,77.63,18,0,14.65,AU,2019-12-31 03:02:48
29,Bria,6.54,21.99,64.24,28,16,4.68,CF,2019-12-31 03:02:49
30,Bambous Virieux,-20.34,57.76,80.01,94,75,17.22,MU,2019-12-31 03:02:49
31,Chokurdakh,70.62,147.9,-27.26,78,26,4.16,RU,2019-12-31 03:02:49
32,Saskylakh,71.97,114.09,-34.02,93,0,10.22,RU,2019-12-31 03:02:49
33,Rikitea,-23.12,-134.97,77.76,82,100,10.92,PF,2019-12-31 03:02:50
34,Hobart,-42.88,147.33,71.01,55,51,17.22,AU,2019-12-31 02:58:28
35,Castro,-42.48,-73.76,51.8,87,0,3.36,CL,2019-12-31 03:02:50
36,Nikolskoye,59.7,30.79,41.0,86,90,11.18,RU,2019-12-31 03:02:51
37,Laibin,23.74,109.23,60.8,55,73,13.06,CN,2019-12-31 03:02:51
38,Mataura,-46.19,168.86,79.97,49,47,3.04,NZ,2019-12-31 03:02:51
39,Ilulissat,69.22,-51.1,15.8,72,100,25.28,GL,2019-12-31 03:02:52
40,Bredasdorp,-34.53,20.04,64.4,68,97,3.36,ZA,2019-12-31 03:02:53
41,Oktyabrskoye,56.73,85.44,-0.4,91,20,2.24,RU,2019-12-31 03:02:53
42,Port Macquarie,-31.43,152.91,100.99,16,0,12.75,AU,2019-12-31 03:02:54
43,Hilo,19.71,-155.08,80.6,57,20,10.29,US,2019-12-31 03:02:54
44,Prince Rupert,54.32,-130.32,44.6,100,90,6.93,CA,2019-12-31 03:02:54
45,Kaitangata,-46.28,169.85,66.99,69,30,5.99,NZ,2019-12-31 03:02:54
46,Saint-Philippe,45.36,-73.48,32.0,92,90,11.41,CA,2019-12-31 03:02:55
